Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Activity,Stage
0.87.248.248-3.0.0.0-0-0-0,0.87.248.248,0,3.0.0.0,0,0,18/07/2019 11:31:58 AM,119999645,2,1,0,0,0,0,0,0,0,0,0,0,0,0.025000074,59999822.5,238.2949853,59999991,59999654,59999991,59999991,0,59999991,59999991,0,0,0,0,0,0,0,0,0,0,0,0.016666716,0.008333358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,-1,-1,0,0,0,0,0,0,59999822.5,238.2949853,59999991,59999654,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:33:21 AM,119999805,439076,219571,25845736,4216,1936,40,58.86392333,49.82655128,56,0,0.019201078,0.878497955,215416.6167,5488.733919,182.1916553,127.8374283,9510,7,119999502,273.3006935,138.814824,9644,51,119999725,546.5214966,202.8986784,11553,7,0,1,0,0,14050432,7026272,3658.972613,1829.761307,0,1936,39.24707583,49.24248388,2424.822219,0,0,0,1,1,0,0,0,0,39.24713542,58.86392333,0.019201078,0,0,0,0,0,0,439076,25845736,219571,4216,-1,1444,439076,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:33:22 AM,100030818,22,1,1108,52,52,48,50.36363636,2.012945119,52,52,52,0,11.59642621,0.22992914,4546855.364,7101534.5,20006777,2,98004570,4666884.286,7254004.515,20006777,2,0,0,0,0,0,0,0,0,0,176,8,0.219932221,0.009996919,48,52,50.5,1.97814142,3.913043478,0,0,0,0,0,0,0,0,0,52.69565217,50.36363636,52,0,0,0,0,0,0,22,1108,1,52,-1,-1,22,0,1489875.333,1115097.304,2235410,207946,13651598.86,5776164.925,20006777,6328398,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:33:21 AM,118783234,244,1,0,0,0,0,0,0,0,0,0,0,0,2.06258065,486816.5328,396069.8382,2216708,7,118177594,486327.5473,396813.5106,2216708,7,0,0,0,0,0,0,0,0,0,0,0,2.054161954,0.008418697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.30-192.168.3.31-42004-9200-6,192.168.3.30,42004,192.168.3.31,9200,6,18/07/2019 11:33:23 AM,85023456,7,9,6049,3362,2019,0,864.1428571,1077.776945,2017,0,373.5555556,638.8131791,110.6871026,0.188183364,5668230.4,11930844.82,35001940,8,85014206,14169034.33,15938595.17,35001940,6366,85023444,10627930.5,14981873.3,35002240,330,0,1,0,0,224,288,0.082330222,0.105853142,0,2019,672.2352941,904.9639171,818959.6912,0,0,0,1,1,0,0,0,1,714.25,864.1428571,373.5555556,0,0,0,0,0,0,7,6049,9,3362,-1,2053,3,0,7491.333333,1542.788817,9250,6366,28331495.33,5776775.508,35001940,24992921,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:33:23 AM,119255106,88,1,25523,296,296,289,290.0340909,2.498039984,296,296,296,0,216.5022603,0.746299282,1355171.659,1365667.206,5126778,33343,119161125,1369668.103,1366757.311,5126778,33343,0,0,0,0,0,0,0,0,0,704,8,0.737913897,0.008385385,289,296,290.1666667,2.623360911,6.882022472,0,0,0,0,0,0,0,0,0,293.4269663,290.0340909,296,0,0,0,0,0,0,88,25523,1,296,-1,-1,88,0,19101456.25,9657390.177,23930781,4615371,5113883.75,8612.151198,5126778,5108853,Normal,Benign
192.168.3.1-192.168.3.30-59591-22-6,192.168.3.30,22,192.168.3.1,59591,6,18/07/2019 11:35:21 AM,119999917,441206,220625,25672936,4176,1752,40,58.18809354,41.34726458,56,0,0.018928045,0.872254653,213976.0813,5515.262148,181.3153181,127.7033906,16206,5,119999423,271.981104,139.8481932,18536,51,119999917,543.9114376,203.5148406,20370,5,0,1,0,0,14118592,7060000,3676.71921,1838.542938,0,1752,38.79710863,43.49588579,1891.892081,0,0,0,1,1,0,0,0,0,38.79716725,58.18809354,0.018928045,0,0,0,0,0,0,441206,25672936,220625,4176,-1,1444,441206,0,0,0,0,0,0,0,0,0,Normal,Benign
192.168.3.10-239.2.11.71-53569-8662-17,192.168.3.10,53569,239.2.11.71,8662,17,18/07/2019 11:35:22 AM,100023399,23,1,1176,52,56,48,51.13043478,2.39894575,52,52,52,0,12.27712728,0.239943856,4348843.435,7522767.248,20006371,2,80017028,3637137.636,6861635.488,19898629,2,0,0,0,0,0,0,0,0,0,184,8,0.229946195,0.009997661,48,56,51.2,2.309401077,5.333333333,0,0,0,0,0,0,0,0,0,53.33333333,51.13043478,52,0,0,0,0,0,0,23,1176,1,52,-1,-1,23,0,1287383.667,2142591.6,3760743,19,16026874.67,5148394.293,20006371,6816617,Normal,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,18/07/2019 11:35:22 AM,119002516,246,1,0,0,0,0,0,0,0,0,0,0,0,2.075586368,483750.065,390442.5879,2216555,8,118396700,483251.8367,391163.4895,2216555,8,0,0,0,0,0,0,0,0,0,0,0,2.067183185,0.008403184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,Normal,Benign
255.255.255.255-0.0.0.0-67-68-17,0.0.0.0,68,255.255.255.255,67,17,18/07/2019 11:35:24 AM,116190062,84,1,24360,289,296,289,290,2.464201525,289,289,289,0,212.143789,0.731559985,1383215.024,1393783.992,5134056,706,111060177,1338074.422,1339056.566,5134056,706,0,0,0,0,0,0,0,0,0,672,8,0.722953397,0.008606588,289,296,289.9767442,2.439752852,5.952393981,0,0,0,0,0,0,0,0,0,293.3882353,290,289,0,0,0,0,0,0,84,24360,1,289,-1,-1,84,0,23916503,6643.678875,23924170,23912443,5128470.75,6786.857219,5134056,5118627,Normal,Benign
